product_id,id_web,price,total_sales,post_title,ca_par_bouteille
3847,15298,24.2,6,Pierre Jean Villa Saint-Joseph Préface 2018,145.2
3849,15296,34.3,0,Pierre Jean Villa Saint-Joseph Rouge Tildé 2017,0.0
3850,15300,20.8,0,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,0.0
4032,19814,14.1,3,Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018,42.3
4039,19815,46.0,0,Pierre Jean Villa Côte Rôtie Carmina 2017,0.0
4040,15303,34.3,0,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,0.0
4041,14975,32.7,0,Pierre Gaillard Condrieu 2018,0.0
4042,16042,31.2,7,Pierre Gaillard Cornas 2017,218.4
4043,14980,60.0,3,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,180.0
4045,16041,42.6,14,Pierre Gaillard Côte Rôtie 2018,596.4
4046,15269,80.0,6,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,480.0
4047,14977,18.3,0,Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018,0.0
4048,16044,22.8,7,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,159.6
4049,16043,19.3,1,Pierre Gaillard Saint-Joseph Rouge 2018,19.3
4050,16449,21.8,6,Pierre Gaillard Saint-Joseph Blanc 2019,130.8
4051,16045,7.7,6,Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018,46.2
4052,16030,33.7,6,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,202.2
4053,13127,44.3,23,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,1018.9
4054,19816,71.6,10,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,716.0
4056,16029,12.7,10,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,127.0
4057,16039,8.7,18,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,156.6
4058,16318,8.7,11,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,95.7
4059,16275,8.7,7,Mourgues du Grès Costières de Nîmes Galets Rosés 2019,60.9
4060,16498,11.9,9,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,107.1
4062,16320,11.9,3,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,35.7
4063,16319,14.5,3,Mourgues du Grès Costières de Nîmes Terre de Feu 2017,43.5
4064,15966,14.4,3,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,43.2
4065,15022,19.5,0,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,0.0
4066,15967,20.8,20,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,416.0
4067,15490,22.0,19,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,418.0
4068,16416,16.6,62,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,1029.2
4069,11862,60.0,0,Gilles Robin Hermitage Rouge 2012,0.0
4070,15444,23.4,7,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,163.8
4071,15953,33.2,19,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,630.8
4072,12045,32.0,1,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,32.0
4073,13074,77.8,0,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,0.0
4074,15941,12.7,4,Domaine de la Jérôme Côtes du Rhône Village 201,50.8
4075,16069,14.7,0,Plateau des Chênes Lirac 2015,0.0
4076,13072,14.05,4,Plateau des Chênes Lirac 2016,56.2
4077,15440,22.9,0,Domaine des Bosquets Gigondas 2016,0.0
4078,13435,44.0,10,Domaine des Bosquets Gigondas La Colline 2015,440.0
4079,13078,37.0,0,Le Vieux Donjon Châteauneuf-du-Pape 2013,0.0
4081,13117,39.0,4,Le Vieux Donjon Châteauneuf-du-Pape 2016,156.0
4083,16296,17.0,0,"Rimauresq Côtes de Provence Blanc Cru Classé ""R"" 2019",0.0
4084,16014,23.2,0,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",0.0
4085,16462,19.0,7,Rimauresq Côtes de Provence Rouge Cru Classé 2017,133.0
4086,16013,16.4,4,Rimauresq Côtes de Provence Blanc Cru Classé 2019,65.6
4087,16180,14.4,18,Rimauresq Côtes de Provence Cru Classé Rosé 2019,259.2
4094,15676,13.7,0,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,0.0
4095,16120,12.6,4,Paul Ginglinger Muscat Caroline 2018,50.4
