product_id,id_web,price,total_sales,post_title,z_score
3847,15298,24.2,6,Pierre Jean Villa Saint-Joseph Préface 2018,0.2982013923888578
3849,15296,34.3,0,Pierre Jean Villa Saint-Joseph Rouge Tildé 2017,0.06497046532363923
3850,15300,20.8,0,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,0.4204572652821736
4032,19814,14.1,3,Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018,0.6613732501013548
4039,19815,46.0,0,Pierre Jean Villa Côte Rôtie Carmina 2017,0.4856744985153439
4040,15303,34.3,0,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,0.06497046532363923
4041,14975,32.7,0,Pierre Gaillard Condrieu 2018,0.00743828984443198
4042,16042,31.2,7,Pierre Gaillard Cornas 2017,0.04649812466732514
4043,14980,60.0,3,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,0.9890810339584092
4045,16041,42.6,14,Pierre Gaillard Côte Rôtie 2018,0.3634186256220281
4046,15269,80.0,6,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,1.7082332274485024
4047,14977,18.3,0,Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018,0.5103512894684352
4048,16044,22.8,7,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,0.34854204593316424
4049,16043,19.3,1,Pierre Gaillard Saint-Joseph Rouge 2018,0.4743936797939306
4050,16449,21.8,6,Pierre Gaillard Saint-Joseph Blanc 2019,0.3844996556076689
4051,16045,7.7,6,Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018,0.8915019520181847
4052,16030,33.7,6,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,0.043395899518936645
4053,13127,44.3,23,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,0.42454656206868585
4054,19816,71.6,10,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,1.4061893061826631
4056,16029,12.7,10,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,0.7117139036456614
4057,16039,8.7,18,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,0.85554434234368
4058,16318,8.7,11,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,0.85554434234368
4059,16275,8.7,7,Mourgues du Grès Costières de Nîmes Galets Rosés 2019,0.85554434234368
4060,16498,11.9,9,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,0.7404799913852652
4062,16320,11.9,3,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,0.7404799913852652
4063,16319,14.5,3,Mourgues du Grès Costières de Nîmes Terre de Feu 2017,0.646990206231553
4064,15966,14.4,3,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,0.6505859671990035
4065,15022,19.5,0,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,0.4672021578590297
4066,15967,20.8,20,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,0.4204572652821736
4067,15490,22.0,19,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,0.377308133672768
4068,16416,16.6,62,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,0.5714792259150931
4069,11862,60.0,0,Gilles Robin Hermitage Rouge 2012,0.9890810339584092
4070,15444,23.4,7,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,0.32696748012846155
4071,15953,33.2,19,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,0.02541709468168431
4072,12045,32.0,1,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,0.017732036927721385
4073,13074,77.8,0,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,1.629126486164592
4074,15941,12.7,4,Domaine de la Jérôme Côtes du Rhône Village 201,0.7117139036456614
4075,16069,14.7,0,Plateau des Chênes Lirac 2015,0.6397986842966521
4076,13072,14.05,4,Plateau des Chênes Lirac 2016,0.66317113058508
4077,15440,22.9,0,Domaine des Bosquets Gigondas 2016,0.3449462849657139
4078,13435,44.0,10,Domaine des Bosquets Gigondas La Colline 2015,0.4137592791663346
4079,13078,37.0,0,Le Vieux Donjon Châteauneuf-du-Pape 2013,0.16205601144480192
4081,13117,39.0,4,Le Vieux Donjon Châteauneuf-du-Pape 2016,0.23397123079381124
4083,16296,17.0,0,"Rimauresq Côtes de Provence Blanc Cru Classé ""R"" 2019",0.5570961820452913
4084,16014,23.2,0,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",0.33415900206336246
4085,16462,19.0,7,Rimauresq Côtes de Provence Rouge Cru Classé 2017,0.485180962696282
4086,16013,16.4,4,Rimauresq Côtes de Provence Blanc Cru Classé 2019,0.5786707478499942
4087,16180,14.4,18,Rimauresq Côtes de Provence Cru Classé Rosé 2019,0.6505859671990035
4094,15676,13.7,0,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,0.6757562939711568
4095,16120,12.6,4,Paul Ginglinger Muscat Caroline 2018,0.7153096646131117
4096,15564,22.8,0,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,0.34854204593316424
4097,15675,12.8,1,Paul Ginglinger Pinot Gris Les Prelats 2018,0.7081181426782109
4098,15378,22.1,1,Paul Ginglinger Pinot Noir Les Rocailles 2016,0.3737123727053175
4099,15813,12.8,0,Paul Ginglinger Riesling Drei Exa 2018,0.7081181426782109
4100,13416,15.8,0,Emile Boeckel Gewurztraminer Grand Cru Zotzenberg 2016,0.6002453136546969
4101,14905,15.8,0,Emile Boeckel Pinot Gris Grand Cru Zotzenberg 2016,0.6002453136546969
4102,15767,16.3,1,Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017,0.5822665088174446
4103,16505,16.3,12,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,0.5822665088174446
4104,15683,9.7,12,Emile Boeckel Riesling Brandluft 2018,0.8195867326691754
4105,16504,6.8,5,Emile Boeckel Sylvaner Vieilles Vignes 2019,0.9238638007252389
4106,15787,12.6,6,Emile Boeckel Pinot Noir Barriques Oberpfoeller 2018,0.7153096646131117
4107,14800,35.0,0,Emile Boeckel Pinot Noir Terres Rouges 2016,0.09014079209579261
4108,15353,31.7,2,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,0.02851931983007281
